TableName,TableType,DataLength,MaxDataLength,IndexLength,Free,CreateDate
CHARACTER_SETS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
COLLATIONS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
COLLATION_CHARACTER_SET_APPLICABILITY,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
COLUMNS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
COLUMN_PRIVILEGES,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
COLUMN_STATISTICS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
ENGINES,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
EVENTS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
FILES,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_BUFFER_PAGE,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_BUFFER_PAGE_LRU,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_BUFFER_POOL_STATS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_CACHED_INDEXES,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_CMP,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_CMPMEM,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_CMPMEM_RESET,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_CMP_PER_INDEX,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_CMP_PER_INDEX_RESET,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_CMP_RESET,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_COLUMNS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_DATAFILES,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_FIELDS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_FOREIGN,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_FOREIGN_COLS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_FT_BEING_DELETED,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_FT_CONFIG,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_FT_DEFAULT_STOPWORD,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_FT_DELETED,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_FT_INDEX_CACHE,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_FT_INDEX_TABLE,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_INDEXES,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_METRICS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_TABLES,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_TABLESPACES,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_TABLESPACES_BRIEF,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_TABLESTATS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_TEMP_TABLE_INFO,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_TRX,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
INNODB_VIRTUAL,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
KEY_COLUMN_USAGE,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
OPTIMIZER_TRACE,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
PARAMETERS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
PARTITIONS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
PLUGINS,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
PROCESSLIST,SYSTEM VIEW,0,0,0,0,2018/5/25 15:45
